geo_id,geo_display_label
5001500US2502,"Congressional District 2 (115th Congress), Massachusetts"
5001500US2503,"Congressional District 3 (115th Congress), Massachusetts"
5001500US2504,"Congressional District 4 (115th Congress), Massachusetts"
5001500US2505,"Congressional District 5 (115th Congress), Massachusetts"
5001500US2506,"Congressional District 6 (115th Congress), Massachusetts"
5001500US2507,"Congressional District 7 (115th Congress), Massachusetts"
5001500US2508,"Congressional District 8 (115th Congress), Massachusetts"
5001500US2509,"Congressional District 9 (115th Congress), Massachusetts"
5001500US2601,"Congressional District 1 (115th Congress), Michigan"
5001500US2602,"Congressional District 2 (115th Congress), Michigan"
5001500US2603,"Congressional District 3 (115th Congress), Michigan"
5001500US2604,"Congressional District 4 (115th Congress), Michigan"
5001500US2605,"Congressional District 5 (115th Congress), Michigan"
5001500US2606,"Congressional District 6 (115th Congress), Michigan"
5001500US2607,"Congressional District 7 (115th Congress), Michigan"
5001500US2608,"Congressional District 8 (115th Congress), Michigan"
5001500US2609,"Congressional District 9 (115th Congress), Michigan"
5001500US2610,"Congressional District 10 (115th Congress), Michigan"
5001500US2611,"Congressional District 11 (115th Congress), Michigan"
5001500US2612,"Congressional District 12 (115th Congress), Michigan"
5001500US2613,"Congressional District 13 (115th Congress), Michigan"
5001500US2614,"Congressional District 14 (115th Congress), Michigan"
5001500US2701,"Congressional District 1 (115th Congress), Minnesota"
5001500US2702,"Congressional District 2 (115th Congress), Minnesota"
5001500US2703,"Congressional District 3 (115th Congress), Minnesota"
5001500US2704,"Congressional District 4 (115th Congress), Minnesota"
5001500US2705,"Congressional District 5 (115th Congress), Minnesota"
5001500US2706,"Congressional District 6 (115th Congress), Minnesota"
5001500US2707,"Congressional District 7 (115th Congress), Minnesota"
5001500US2708,"Congressional District 8 (115th Congress), Minnesota"
5001500US2801,"Congressional District 1 (115th Congress), Mississippi"
5001500US2802,"Congressional District 2 (115th Congress), Mississippi"
5001500US2803,"Congressional District 3 (115th Congress), Mississippi"
5001500US2804,"Congressional District 4 (115th Congress), Mississippi"
5001500US2901,"Congressional District 1 (115th Congress), Missouri"
5001500US2902,"Congressional District 2 (115th Congress), Missouri"
5001500US2903,"Congressional District 3 (115th Congress), Missouri"
5001500US2904,"Congressional District 4 (115th Congress), Missouri"
5001500US2905,"Congressional District 5 (115th Congress), Missouri"
5001500US2906,"Congressional District 6 (115th Congress), Missouri"
5001500US2907,"Congressional District 7 (115th Congress), Missouri"
5001500US2908,"Congressional District 8 (115th Congress), Missouri"
5001500US3000,"Congressional District (at Large) (115th Congress), Montana"
5001500US3101,"Congressional District 1 (115th Congress), Nebraska"
5001500US3102,"Congressional District 2 (115th Congress), Nebraska"
5001500US3103,"Congressional District 3 (115th Congress), Nebraska"
5001500US3201,"Congressional District 1 (115th Congress), Nevada"
5001500US3202,"Congressional District 2 (115th Congress), Nevada"
5001500US3203,"Congressional District 3 (115th Congress), Nevada"
